Date,Open,High,Low,Close,Volume
2021-04-19,1276.87,1306.22,1271.52,1306.22,218464460.0
2021-04-20,1306.22,1331.56,1303.68,1312.68,254505940.0
2021-04-22,1312.68,1317.5,1271.53,1271.53,259518376.0
2021-04-23,1271.53,1301.39,1262.89,1301.39,256456044.0
2021-04-26,1301.39,1305.73,1269.78,1275.04,235316258.0
2021-04-27,1274.32,1283.95,1264.57,1283.81,176367108.0
2021-04-28,1283.81,1296.48,1280.54,1294.06,213824944.0
2021-04-29,1294.06,1312.62,1294.06,1312.28,258527216.0
2021-05-04,1312.28,1329.18,1285.9,1328.03,294242652.0
2021-05-05,1328.03,1360.76,1328.03,1346.89,290443632.0
2021-05-06,1346.93,1352.57,1337.28,1344.64,235033896.0
2021-05-07,1344.64,1347.8,1329.51,1340.73,302363384.0
2021-05-10,1340.73,1371.51,1335.39,1370.66,313431870.0
2021-05-11,1370.66,1382.06,1359.19,1359.19,274304192.0
2021-05-12,1358.59,1380.23,1350.8,1380.17,270156392.0
2021-05-13,1380.17,1385.72,1370.18,1370.18,297072587.0
2021-05-14,1370.18,1386.09,1370.14,1380.02,263345784.0
2021-05-17,1380.02,1391.89,1371.22,1371.36,272832800.0
2021-05-18,1371.75,1381.36,1367.85,1378.59,258816240.0
2021-05-19,1378.59,1402.45,1378.43,1401.71,298120444.0
2021-05-20,1401.71,1424.92,1396.23,1424.92,290444724.0
2021-05-21,1424.92,1433.01,1412.78,1425.04,317806300.0
2021-05-24,1425.04,1433.59,1421.17,1430.48,264296860.0
2021-05-25,1430.48,1445.6,1427.56,1444.01,222532848.0
2021-05-26,1444.01,1456.55,1440.6,1455.11,268501592.0
2021-05-27,1455.11,1457.46,1433.76,1437.38,346761648.0
2021-05-28,1437.38,1460.68,1433.55,1458.78,301520492.0
2021-05-31,1458.78,1475.09,1449.66,1474.78,302485768.0
2021-06-01,1473.28,1496.55,1473.28,1482.92,256973612.0
2021-06-02,1482.92,1488.93,1469.49,1478.85,288593492.0
2021-06-03,1478.85,1506.27,1478.85,1504.37,330711330.0
2021-06-04,1504.37,1509.38,1496.36,1508.35,344963632.0
2021-06-07,1508.35,1508.65,1472.1,1484.1,327469292.0
2021-06-08,1481.88,1493.36,1436.72,1438.97,360912980.0
2021-06-09,1438.97,1465.93,1426.04,1457.76,287710988.0
2021-06-10,1457.76,1464.4,1443.74,1451.18,256310352.0
2021-06-11,1451.43,1489.95,1448.46,1487.61,276948902.0
2021-06-14,1487.61,1504.32,1483.82,1495.51,297194268.0
2021-06-15,1495.51,1498.75,1481.03,1487.04,241511600.0
2021-06-16,1487.04,1487.68,1462.99,1465.58,246931908.0
2021-06-17,1465.58,1469.44,1445.39,1461.91,236242079.0
2021-06-18,1461.91,1484.89,1461.91,1481.3,207546600.0
2021-06-21,1481.3,1486.12,1473.11,1478.29,213123876.0
2021-06-22,1478.29,1498.12,1478.29,1489.24,222171900.0
2021-06-23,1489.24,1502.79,1485.13,1489.53,212305796.0
2021-06-24,1489.53,1497.92,1482.38,1486.96,191294176.0
2021-06-25,1486.99,1500.94,1480.64,1500.3,212174869.0
2021-06-28,1500.3,1523.58,1500.3,1521.41,233698984.0
2021-06-29,1521.41,1536.96,1521.41,1529.97,206414116.0
2021-06-30,1529.97,1540.9,1528.1,1529.0,221052104.0
2021-07-01,1529.0,1545.14,1525.24,1545.14,266736532.0
2021-07-02,1546.54,1558.45,1546.54,1554.59,261971016.0
2021-07-05,1554.59,1560.44,1533.18,1557.41,317102528.0
2021-07-06,1557.41,1565.29,1488.42,1488.42,306722980.0
2021-07-07,1488.42,1538.77,1472.81,1538.77,323349856.0
2021-07-08,1531.74,1536.51,1509.9,1521.21,225074320.0
2021-07-09,1521.21,1526.35,1480.6,1494.43,296166716.0
2021-07-12,1494.43,1495.92,1406.14,1443.1,432985604.0
2021-07-13,1443.1,1457.05,1419.09,1440.87,187526300.0
2021-07-14,1442.2,1446.13,1395.16,1410.3,229945780.0
2021-07-15,1410.3,1441.57,1402.39,1430.29,194747064.0
2021-07-16,1430.29,1446.36,1430.29,1438.05,176498096.0
2021-07-19,1438.05,1438.05,1367.61,1374.15,275744998.0
2021-07-20,1374.15,1411.02,1357.31,1411.02,225886080.0
2021-07-21,1411.02,1422.8,1402.42,1406.54,172054596.0
2021-07-22,1404.38,1432.43,1400.2,1428.48,168069388.0
2021-07-23,1422.07,1430.43,1401.53,1401.53,240385311.0
2021-07-26,1396.45,1409.94,1384.87,1403.96,156434216.0
2021-07-27,1403.96,1423.3,1403.96,1409.85,199127208.0
2021-07-28,1409.85,1415.39,1402.6,1407.5,138557772.0
2021-07-29,1407.5,1427.55,1407.5,1427.55,185877596.0
2021-07-30,1427.55,1451.45,1427.55,1447.23,231689996.0
2021-08-02,1447.23,1457.89,1438.35,1448.21,206635476.0
2021-08-03,1448.21,1469.87,1448.21,1469.87,232401840.0
2021-08-04,1469.87,1480.28,1465.66,1472.2,244570468.0
2021-08-05,1472.2,1488.79,1465.1,1486.46,205885900.0
2021-08-06,1489.21,1491.52,1476.79,1476.79,218568676.0
2021-08-09,1472.83,1499.9,1467.32,1497.83,225566104.0
2021-08-10,1506.3,1508.92,1490.0,1494.41,202341100.0
2021-08-11,1497.15,1506.8,1487.91,1487.91,256367682.0
